DATAFLOW,LAST UPDATE,freq,purchase,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Latvia,2020,144.84,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Latvia,2021,146.81,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Latvia,2022,165.81,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Latvia,2023,191.12,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Latvia,2024,209.45,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Latvia,2025,218.71,p,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Malta,2016,104.98,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Malta,2017,110.49,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Malta,2018,117.37,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Malta,2019,124.98,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Malta,2020,128.01,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Malta,2021,135.70,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Malta,2022,145.01,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Malta,2023,153.69,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Malta,2024,163.84,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Malta,2025,173.22,p,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Netherlands,2016,104.03,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Netherlands,2017,112.28,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Netherlands,2018,123.46,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Netherlands,2019,133.76,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Netherlands,2020,145.51,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Netherlands,2021,161.57,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Netherlands,2022,182.43,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Netherlands,2023,189.21,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Netherlands,2024,195.13,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Netherlands,2025,210.15,p,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Norway,2016,107.07,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Norway,2017,112.72,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Norway,2018,115.19,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Norway,2019,122.44,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Norway,2020,129.17,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Norway,2021,138.34,,
