DATAFLOW,LAST UPDATE,freq,purchase,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Austria,2016,136.27,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Austria,2017,144.48,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Austria,2018,153.57,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Austria,2019,162.82,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Austria,2020,175.30,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Austria,2021,198.25,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Austria,2022,221.28,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Austria,2023,212.27,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Austria,2024,208.89,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Austria,2025,214.16,p,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Belgium,2016,110.71,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Belgium,2017,114.46,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Belgium,2018,117.96,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Belgium,2019,122.63,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Belgium,2020,127.83,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Belgium,2021,136.53,,
